qixue,zhenqi,up_gongji,baoshang,duiguai,1%_qixue,1%_zhenqi,1%_gongji,up_damage
1500000,1500000,150000,1600.0,4.6,2500,2500,100,599268037
1500000,1500000,150000,1600.0,4.6,2500,2500,100,295261649
1790000,980000,113144,1802.0,8.5,5500,3000,200,654004423
1800000,980000,113114,1802.0,8.5,6000,3000,220,464652732
1820000,1000000,110000,1750.0,10.3,8000,2500,500,756840787
1260000,580000,118000,1682.0,2.0,2500,2500,100,501811529
1800000,990000,110000,1730.0,10.3,5000,2500,300,420503529
1500000,1500000,150000,1600.0,4.6,2500,2500,100,478234301
1300000,600000,120000,1500.0,4.6,2500,2500,100,339218177
1500000,1500000,150000,1600.0,4.6,2500,2500,100,597934924
1620000,750000,121993,1830.0,3.0,2500,2500,100,570277695
1420000,649701,100837,1736.0,6.4,2500,2500,100,70820098
1420000,6497010,100837,1736.0,6.4,2500,2500,100,120535699
1420000,649701,100837,1736.0,6.4,6000,2500,100,81953520
1420000,649701,100837,1736.0,6.4,4000,2500,100,74080567
1420000,649701,100837,1736.0,6.4,3800,2500,100,73293272
1420000,649701,100837,1736.0,6.4,3900,2500,100,73686920
1420000,649701,100837,1736.0,6.4,3980,2500,100,74001838
1420000,649701,100837,1736.0,6.4,4200,2500,100,74867863
1510000,629701,108467,1736.0,6.4,4200,2500,100,77356321
1510000,629701,108467,1665.0,6.4,4300,2500,100,75189557
1510000,629701,108467,1665.0,6.4,4500,2700,100,75981381
